Rank,Symbol,CoinID,Name,MarketCap_USD,Price_USD,PriceChange24h,Volume24h_USD
80,YLDS,ylds,YLDS,570511169,0.999906,-0.00019,7703790.0
81,JUP,jupiter-exchange-solana,Jupiter,559443954,0.159966,0.60236,14209636.0
82,STABLE,stable-2,​​Stable,537772469,0.02552153,-1.78517,14128708.0
83,JST,just,JUST,520138198,0.059076,-0.56722,28032246.0
84,FET,fetch-ai,Artificial Superintelligence Alliance,511627027,0.226355,1.7793,111621677.0
85,ZRO,layerzero,LayerZero,510633115,2.02,0.94528,39881063.0
86,RIVER,river,River,493810939,25.19,9.25788,36924633.0
87,FTN,fasttoken,Fasttoken,472233870,1.088,-0.0759,175534.0
88,ETHFI,ether-fi,Ether.fi,464711805,0.589207,4.51565,143504586.0
89,A7A5,a7a5,A7A5,464522656,0.0118509,0.3406,1911.97
90,VIRTUAL,virtual-protocol,Virtuals Protocol,460780147,0.701903,-0.25961,40378580.0
91,CAKE,pancakeswap-token,PancakeSwap,453840546,1.38,-3.02694,24976355.0
92,STX,blockstack,Stacks,453233039,0.246933,0.47214,8250322.0
93,DCR,decred,Decred,431242525,24.88,-4.88744,2002290.0
94,XTZ,tezos,Tezos,428330258,0.396867,-0.0196,11488473.0
95,EURC,euro-coin,EURC,428043411,1.16,0.16483,16411786.0
96,SEI,sei-network,Sei,425489303,0.063209,-0.03167,20753790.0
97,JAAA,janus-henderson-anemoy-aaa-clo-fund,Janus Henderson Anemoy AAA CLO Fund,420772673,1.027,0.0,0.0
98,DASH,dash,Dash,418100263,33.11,4.57891,58233908.0
99,KITE,kite-2,Kite,396359434,0.220329,4.5989,56552710.0
100,CHZ,chiliz,Chiliz,376684510,0.03644914,2.06302,24253550.0
101,USX,usx,USX,359585928,0.999799,0.02795,1681170.0
102,PRIME,hastra-prime,PRIME,354341656,1.029,0.37964,746377.0
103,CRV,curve-dao-token,Curve DAO,350596001,0.235685,0.43189,25290277.0
104,GNO,gnosis,Gnosis,344391822,130.45,0.00055,4147454.0
105,SUN,sun-token,Sun Token,342007725,0.01778515,0.80094,63859417.0
106,CFX,conflux-token,Conflux,335033706,0.064608,1.80386,13340489.0
107,KAU,kinesis-gold,Kinesis Gold,334958863,140.37,-4.29544,67949.0
108,BTT,bittorrent,BitTorrent,332357426,3.36672e-07,0.80566,7707253.0
109,NFT,apenft,AINFT,331055600,3.3448e-07,1.06589,6340546.0
110,USDAI,usdai,USDai,323063005,0.999936,0.01612,1227400.0
111,INJ,injective-protocol,Injective,314975060,3.14,1.68575,30997533.0
112,ADI,adi-token,ADI,314800677,3.23,-0.90819,619422.0
113,KAIA,kaia,Kaia,302223440,0.051597,0.5353,4128870.0
114,TIA,celestia,Celestia,300293912,0.335891,0.68082,17534084.0
115,AERO,aerodrome-finance,Aerodrome Finance,297489898,0.322876,0.17173,4947208.0
116,BSV,bitcoin-cash-sv,Bitcoin SV,291841698,14.6,-0.10357,5417683.0
117,SPX,spx6900,SPX6900,285147246,0.306394,0.48421,3533588.0
118,DEXE,dexe,DeXe,282441317,6.05,-2.082,10907151.0
119,GRT,the-graph,The Graph,281279847,0.02615051,0.8763,9334153.0
120,JASMY,jasmycoin,JasmyCoin,280243747,0.00567566,1.38412,8811962.0
121,VVV,venice-token,Venice Token,274614941,6.13,8.4356,10875338.0
122,SYRUP,syrup,Maple Finance,274308144,0.237124,-0.98974,3993689.0
123,IOTA,iota,IOTA,268680203,0.061797,-0.43205,4855959.0
124,APEPE,ape-and-pepe,Ape and Pepe,268503199,1.28e-06,-0.5098,29223525.0
125,LIT,lighter,Lighter,264430370,1.058,-8.75163,17118171.0
126,2Z,doublezero,DoubleZero,264185229,0.0761,-0.14251,5428587.0
127,FO,official-fo,Official FO,263005125,0.263644,0.16689,165098.0
128,OP,optimism,Optimism,262078163,0.1239,0.52562,40436136.0
129,IP,story-2,Story,260197007,0.739377,-1.68105,28935834.0
130,LDO,lido-dao,Lido DAO,254272826,0.2996,0.75873,13105025.0
131,PYTH,pyth-network,Pyth Network,251145267,0.04368213,0.27274,10099742.0
132,OHM,olympus,Olympus,249115539,15.92,-2.11113,184995.0
133,ZBCN,zebec-network,Zebec Network,244147352,0.00249252,4.26871,9827228.0
134,ENS,ethereum-name-service,Ethereum Name Service,239841176,6.25,1.22579,14221368.0
135,MON,monad,Monad,238564071,0.02202126,0.04286,27565331.0
136,BTSE,btse-token,BTSE Token,236721803,1.46,-7.52905,5442334.0
137,TEL,telcoin,Telcoin,232601827,0.00244803,-1.03403,982541.0
138,HNT,helium,Helium,228531312,1.24,-0.19987,2814587.0
139,B,build-on,BUILDon,220182466,0.220009,-0.84277,4347921.0
140,STRK,starknet,Starknet,218907579,0.03876735,8.72572,27804314.0
141,SAND,the-sandbox,The Sandbox,217611114,0.081639,-0.73615,12812075.0
142,USDA,usda-2,USDa,217170110,0.984014,0.0,3.2
143,XPL,plasma,Plasma,216652222,0.096553,1.28817,57349524.0
144,AUSD,agora-dollar,AUSD,216452069,0.999929,-0.00117,36867403.0
145,LUNC,terra-luna,Terra Luna Classic,216298602,3.963e-05,-1.17466,6189056.0
146,TWT,trust-wallet-token,Trust Wallet,210918743,0.506469,0.99385,7169630.0
147,BCAP,blockchain-capital,Blockchain Capital,209487432,22.99,0.0,0.0
148,PENDLE,pendle,Pendle,208709547,1.26,-0.37695,15170651.0
149,GRASS,grass,Grass,208258757,0.384224,1.66834,9607092.0
150,AB,newton-project,AB,202597845,0.00205189,-1.79808,3451199.0
